time,event,value
0,participant_id,adfcefc0-c4d8-447d-8f92-2450f86397c7
1,condition,negative
1,lessons,3;2;4;1;5
674,starting_story,9;neutral
993,hmd_pitch,79.87301
1993,hmd_pitch,79.88004
3004,hmd_pitch,79.87286
4004,hmd_pitch,79.89633
5005,hmd_pitch,79.88516
6003,hmd_pitch,79.88096
7002,hmd_pitch,79.86523
8001,hmd_pitch,79.87405
9001,hmd_pitch,79.88277
10000,hmd_pitch,79.8782
11000,hmd_pitch,79.88816
11999,hmd_pitch,79.88839
13000,hmd_pitch,79.88104
13998,hmd_pitch,79.87537
14998,hmd_pitch,79.8714
15998,hmd_pitch,79.86896
16997,hmd_pitch,79.85645
