time,event,value
1643375718273,button_pressed,right;next
1643375719016,button_pressed,right;next
1643375719416,button_pressed,right;next
1643375719594,button_pressed,right;next
1643375719738,button_pressed,right;next
1643375719905,button_pressed,right;next
1643375720306,button_pressed,right;next
1643375720462,button_pressed,right;next
1643375720649,button_pressed,right;next
1643375720872,button_pressed,right;next
1643375721117,button_pressed,right;next
1643375722228,button_pressed,left;repeat
1643375722705,button_pressed,left;repeat
1643375722906,button_pressed,left;repeat
1643375723338,button_pressed,left;repeat
1643375723548,button_pressed,left;repeat
1643375723748,button_pressed,left;repeat
0,participant_id,de42770a-aa0b-4ca5-a0fc-bf02d1861a5b
0,condition,negative
0,lessons,1;3;2;4;5
677,starting_story,9;neutral
998,hmd_pitch,4.032066
2000,hmd_pitch,17.35334
2999,hmd_pitch,19.62578
4012,hmd_pitch,14.01886
5010,hmd_pitch,13.75149
6011,hmd_pitch,12.86428
7009,hmd_pitch,13.33466
8008,hmd_pitch,0.8932184
9007,hmd_pitch,16.07386
10007,hmd_pitch,14.79797
11008,hmd_pitch,14.83799
12007,hmd_pitch,22.58293
13006,hmd_pitch,28.59391
14005,hmd_pitch,34.28115
15004,hmd_pitch,28.94901
16004,hmd_pitch,25.9957
17002,hmd_pitch,28.34007
18003,hmd_pitch,31.54242
19002,hmd_pitch,36.92053
20003,hmd_pitch,37.14682
21002,hmd_pitch,30.56135
22001,hmd_pitch,19.56353
23001,hmd_pitch,39.80197
24001,hmd_pitch,10.82725
25000,hmd_pitch,9.712729
25998,hmd_pitch,5.255563
27005,hmd_pitch,7.160326
28009,hmd_pitch,13.81777
29009,hmd_pitch,13.8181
30011,hmd_pitch,16.32404
31009,hmd_pitch,5.678005
32008,hmd_pitch,5.780386
33009,hmd_pitch,5.669226
34007,hmd_pitch,6.80812
35007,hmd_pitch,7.328999
36007,hmd_pitch,7.649616
37007,hmd_pitch,9.396679
38007,hmd_pitch,9.679969
38293,starting_story,1;neutral
38999,hmd_pitch,15.34412
40004,hmd_pitch,32.02777
41004,hmd_pitch,32.03392
42003,hmd_pitch,30.19387
43002,hmd_pitch,30.18476
44003,hmd_pitch,30.63338
45008,hmd_pitch,28.93193
46012,hmd_pitch,29.94598
47013,hmd_pitch,27.84884
48011,hmd_pitch,25.42532
49012,hmd_pitch,27.26949
50011,hmd_pitch,27.01031
51031,hmd_pitch,27.45885
52034,hmd_pitch,18.53006
53033,hmd_pitch,15.94159
54031,hmd_pitch,2.020918
55030,hmd_pitch,4.882323
56032,hmd_pitch,6.24087
57030,hmd_pitch,23.69182
58030,hmd_pitch,24.44949
59028,hmd_pitch,32.91437
60028,hmd_pitch,29.47782
61027,hmd_pitch,27.67232
62026,hmd_pitch,25.69416
63039,hmd_pitch,30.14912
64038,hmd_pitch,30.56013
65039,hmd_pitch,25.36518
66038,hmd_pitch,18.64947
67038,hmd_pitch,18.11994
68036,hmd_pitch,16.10261
69036,hmd_pitch,16.13576
70034,hmd_pitch,16.32622
71034,hmd_pitch,17.79326
72034,hmd_pitch,18.90293
73033,hmd_pitch,18.47034
73967,starting_story,6;neutral
74032,hmd_pitch,21.20932
75045,hmd_pitch,21.35591
76044,hmd_pitch,20.23952
77043,hmd_pitch,20.25147
78043,hmd_pitch,20.46173
79041,hmd_pitch,22.31225
80042,hmd_pitch,21.46644
80097,repeat_lesson,True
80098,starting_story,8;negative
81042,hmd_pitch,20.81913
82041,hmd_pitch,15.46913
83042,hmd_pitch,5.41116
84040,hmd_pitch,15.44514
85040,hmd_pitch,16.96303
86035,hmd_pitch,14.00681
87040,hmd_pitch,31.74846
88039,hmd_pitch,31.4722
89038,hmd_pitch,9.71006
